,strain,num_similar,ids
269,FQ02,2,"['FQ02_opa_2', 'FQ02_opa_10']"
270,FQ02,2,"['FQ02_opa_8', 'FQ02_opa_3']"
271,FQ02,2,"['FQ02_opa_5', 'FQ02_opa_4']"
272,FQ04,3,"['FQ04_opa_2', 'FQ04_opa_7', 'FQ04_opa_4']"
273,FQ04,2,"['FQ04_opa_8', 'FQ04_opa_3']"
274,FQ04,2,"['FQ04_opa_6', 'FQ04_opa_9']"
275,FQ20,2,"['FQ20_opa_4', 'FQ20_opa_2']"
276,FQ20,2,"['FQ20_opa_9', 'FQ20_opa_7']"
277,FQ35,3,"['FQ35_opa_9', 'FQ35_opa_7', 'FQ35_opa_11']"
278,FQ35,2,"['FQ35_opa_2', 'FQ35_opa_4']"
279,FQ36,2,"['FQ36_opa_8', 'FQ36_opa_4']"
280,FQ48,2,"['FQ48_opa_4', 'FQ48_opa_1']"
281,FQ48,2,"['FQ48_opa_6', 'FQ48_opa_9']"
282,FQ82,2,"['FQ82_opa_11', 'FQ82_opa_8']"
283,FQ82,2,"['FQ82_opa_7', 'FQ82_opa_4']"
284,FQ82,2,"['FQ82_opa_6', 'FQ82_opa_9']"
285,FQ84,3,"['FQ84_opa_9', 'FQ84_opa_6', 'FQ84_opa_11']"
286,FQ84,2,"['FQ84_opa_2', 'FQ84_opa_4']"
287,GCGS0245,3,"['GCGS0245_opa_9', 'GCGS0245_opa_1', 'GCGS0245_opa_8']"
288,GCGS0245,3,"['GCGS0245_opa_2', 'GCGS0245_opa_7', 'GCGS0245_opa_4']"
289,GCGS0276,2,"['GCGS0276_opa_10', 'GCGS0276_opa_2']"
290,GCGS0276,2,"['GCGS0276_opa_4', 'GCGS0276_opa_3']"
291,GCGS0276,3,"['GCGS0276_opa_9', 'GCGS0276_opa_8', 'GCGS0276_opa_5']"
292,GCGS0306,2,"['GCGS0306_opa_7', 'GCGS0306_opa_1']"
293,GCGS0306,2,"['GCGS0306_opa_10', 'GCGS0306_opa_8']"
294,GCGS0306,2,"['GCGS0306_opa_6', 'GCGS0306_opa_9']"
295,GCGS0313,3,"['GCGS0313_opa_1', 'GCGS0313_opa_4', 'GCGS0313_opa_5']"
296,GCGS0313,2,"['GCGS0313_opa_11', 'GCGS0313_opa_6']"
297,GCGS0313,2,"['GCGS0313_opa_2', 'GCGS0313_opa_8']"
298,GCGS0339,3,"['GCGS0339_opa_6', 'GCGS0339_opa_10', 'GCGS0339_opa_8']"
299,GCGS0373,3,"['GCGS0373_opa_7', 'GCGS0373_opa_1', 'GCGS0373_opa_5']"
300,GCGS0373,3,"['GCGS0373_opa_4', 'GCGS0373_opa_3', 'GCGS0373_opa_10']"
301,GCGS0431,3,"['GCGS0431_opa_1', 'GCGS0431_opa_2', 'GCGS0431_opa_5']"
302,GCGS0431,3,"['GCGS0431_opa_11', 'GCGS0431_opa_7', 'GCGS0431_opa_8']"
303,GCGS0457,2,"['GCGS0457_opa_10', 'GCGS0457_opa_6']"
304,GCGS0457,2,"['GCGS0457_opa_2', 'GCGS0457_opa_8']"
305,GCGS0457,2,"['GCGS0457_opa_3', 'GCGS0457_opa_4']"
306,GCGS0457,2,"['GCGS0457_opa_9', 'GCGS0457_opa_7']"
307,GCGS0769,2,"['GCGS0769_opa_4', 'GCGS0769_opa_11']"
308,GCGS0834,2,"['GCGS0834_opa_5', 'GCGS0834_opa_1']"
309,GCGS0834,2,"['GCGS0834_opa_6', 'GCGS0834_opa_2']"
310,GCGS0834,2,"['GCGS0834_opa_8', 'GCGS0834_opa_4']"
311,GCGS0834,2,"['GCGS0834_opa_7', 'GCGS0834_opa_9']"
312,GCGS0864,2,"['GCGS0864_opa_4', 'GCGS0864_opa_1']"
313,GCGS0864,2,"['GCGS0864_opa_10', 'GCGS0864_opa_8']"
314,GCGS0864,2,"['GCGS0864_opa_3', 'GCGS0864_opa_7']"
315,GCGS0864,2,"['GCGS0864_opa_9', 'GCGS0864_opa_5']"
316,GCGS1013,2,"['GCGS1013_opa_3', 'GCGS1013_opa_10']"
317,GCGS1013,2,"['GCGS1013_opa_9', 'GCGS1013_opa_11']"
318,GCGS1013,2,"['GCGS1013_opa_2', 'GCGS1013_opa_4']"
319,GCGS1014,2,"['GCGS1014_opa_10', 'GCGS1014_opa_8']"
320,GCGS1014,5,"['GCGS1014_opa_7', 'GCGS1014_opa_9', 'GCGS1014_opa_5', 'GCGS1014_opa_2', 'GCGS1014_opa_3']"
321,GCGS1095,3,"['GCGS1095_opa_9', 'GCGS1095_opa_7', 'GCGS1095_opa_10']"
322,GCGS1095,2,"['GCGS1095_opa_3', 'GCGS1095_opa_2']"
323,GCGS1095,3,"['GCGS1095_opa_6', 'GCGS1095_opa_8', 'GCGS1095_opa_4']"
324,GGG022,2,"['GGG022_opa_7', 'GGG022_opa_11']"
325,GGG031,2,"['GGG031_opa_8', 'GGG031_opa_5']"
326,H035,2,"['H035_opa_1', 'H035_opa_4']"
327,H035,2,"['H035_opa_3', 'H035_opa_5']"
328,H035,2,"['H035_opa_8', 'H035_opa_6']"
329,HHH023,3,"['HHH023_opa_9', 'HHH023_opa_1', 'HHH023_opa_2']"
330,HHH023,3,"['HHH023_opa_11', 'HHH023_opa_6', 'HHH023_opa_4']"
331,HHH030,2,"['HHH030_opa_8', 'HHH030_opa_3']"
332,JJJ010,2,"['JJJ010_opa_6', 'JJJ010_opa_2']"
333,JJJ020,2,"['JJJ020_opa_5', 'JJJ020_opa_7']"
334,JJJ025,3,"['JJJ025_opa_8', 'JJJ025_opa_11', 'JJJ025_opa_9']"
335,NCTC8375,3,"['NCTC8375_opa_4', 'NCTC8375_opa_7', 'NCTC8375_opa_10']"
336,NCTC8375,2,"['NCTC8375_opa_2', 'NCTC8375_opa_9']"
337,NG196,2,"['NG196_opa_5', 'NG196_opa_10']"
338,NG196,2,"['NG196_opa_2', 'NG196_opa_6']"
339,NG196,2,"['NG196_opa_4', 'NG196_opa_8']"
340,NG196,2,"['NG196_opa_9', 'NG196_opa_7']"
341,NG250,7,"['NG250_opa_1', 'NG250_opa_2', 'NG250_opa_11', 'NG250_opa_10', 'NG250_opa_5', 'NG250_opa_6', 'NG250_opa_8']"
342,NG250,2,"['NG250_opa_7', 'NG250_opa_9']"
343,NG251,2,"['NG251_opa_1', 'NG251_opa_8']"
344,NG251,3,"['NG251_opa_3', 'NG251_opa_4', 'NG251_opa_9']"
345,NG290,2,"['NG290_opa_8', 'NG290_opa_11']"
346,NG290,2,"['NG290_opa_9', 'NG290_opa_6']"
347,Ng_118,2,"['Ng_118_opa_7', 'Ng_118_opa_1']"
348,Ng_118,4,"['Ng_118_opa_4', 'Ng_118_opa_8', 'Ng_118_opa_6', 'Ng_118_opa_5']"
349,Ng_188,4,"['Ng_188_opa_2', 'Ng_188_opa_1', 'Ng_188_opa_4', 'Ng_188_opa_10']"
350,Ng_188,3,"['Ng_188_opa_11', 'Ng_188_opa_8', 'Ng_188_opa_5']"
351,Ng_188,2,"['Ng_188_opa_6', 'Ng_188_opa_3']"
352,RIVM0610,2,"['RIVM0610_opa_3', 'RIVM0610_opa_9']"
353,RIVM0610,2,"['RIVM0610_opa_5', 'RIVM0610_opa_7']"
354,RIVM0640,2,"['RIVM0640_opa_1', 'RIVM0640_opa_6']"
355,RIVM0640,2,"['RIVM0640_opa_10', 'RIVM0640_opa_8']"
356,RIVM0640,2,"['RIVM0640_opa_9', 'RIVM0640_opa_3']"
357,RIVM0640,2,"['RIVM0640_opa_7', 'RIVM0640_opa_5']"
358,SAMEA116302675,2,"['SAMEA116302675_opa_10', 'SAMEA116302675_opa_1']"
359,SAMEA116302675,4,"['SAMEA116302675_opa_8', 'SAMEA116302675_opa_3', 'SAMEA116302675_opa_6', 'SAMEA116302675_opa_11']"
360,SAMEA116302675,2,"['SAMEA116302675_opa_2', 'SAMEA116302675_opa_9']"
361,SAMEA116302676,2,"['SAMEA116302676_opa_10', 'SAMEA116302676_opa_1']"
362,SAMEA116302676,2,"['SAMEA116302676_opa_11', 'SAMEA116302676_opa_8']"
363,SAMEA116302676,2,"['SAMEA116302676_opa_9', 'SAMEA116302676_opa_2']"
364,SAMEA116302676,2,"['SAMEA116302676_opa_6', 'SAMEA116302676_opa_3']"
365,SE690,2,"['SE690_opa_3', 'SE690_opa_10']"
366,SE690,2,"['SE690_opa_4', 'SE690_opa_5']"
367,SRR5827236,3,"['SRR5827236_opa_10', 'SRR5827236_opa_7', 'SRR5827236_opa_1']"
368,SRR5827236,2,"['SRR5827236_opa_11', 'SRR5827236_opa_3']"
369,SRR5827236,3,"['SRR5827236_opa_2', 'SRR5827236_opa_6', 'SRR5827236_opa_5']"
370,SRR5827322,2,"['SRR5827322_opa_7', 'SRR5827322_opa_1']"
371,SRR5827322,3,"['SRR5827322_opa_4', 'SRR5827322_opa_2', 'SRR5827322_opa_10']"
372,SRR5827322,2,"['SRR5827322_opa_6', 'SRR5827322_opa_8']"
373,SRRSH203,2,"['SRRSH203_opa_1', 'SRRSH203_opa_9']"
374,SRRSH203,4,"['SRRSH203_opa_5', 'SRRSH203_opa_11', 'SRRSH203_opa_3', 'SRRSH203_opa_8']"
375,SRRSH204,2,"['SRRSH204_opa_9', 'SRRSH204_opa_1']"
376,SRRSH204,2,"['SRRSH204_opa_6', 'SRRSH204_opa_11']"
377,SRRSH204,3,"['SRRSH204_opa_3', 'SRRSH204_opa_5', 'SRRSH204_opa_8']"
378,SRRSH205,2,"['SRRSH205_opa_1', 'SRRSH205_opa_9']"
379,SRRSH205,4,"['SRRSH205_opa_11', 'SRRSH205_opa_3', 'SRRSH205_opa_5', 'SRRSH205_opa_8']"
380,SRRSH207,3,"['SRRSH207_opa_11', 'SRRSH207_opa_3', 'SRRSH207_opa_5']"
381,SRRSH207,2,"['SRRSH207_opa_4', 'SRRSH207_opa_8']"
382,SRRSH207,2,"['SRRSH207_opa_9', 'SRRSH207_opa_7']"
383,SRRSH214,2,"['SRRSH214_opa_1', 'SRRSH214_opa_9']"
384,SRRSH214,2,"['SRRSH214_opa_4', 'SRRSH214_opa_11']"
385,SRRSH214,3,"['SRRSH214_opa_3', 'SRRSH214_opa_8', 'SRRSH214_opa_5']"
386,SRRSH229,2,"['SRRSH229_opa_9', 'SRRSH229_opa_1']"
387,SRRSH229,4,"['SRRSH229_opa_5', 'SRRSH229_opa_11', 'SRRSH229_opa_8', 'SRRSH229_opa_3']"
388,SRRSH240,3,"['SRRSH240_opa_5', 'SRRSH240_opa_3', 'SRRSH240_opa_11']"
389,SRRSH240,2,"['SRRSH240_opa_8', 'SRRSH240_opa_4']"
390,SRRSH240,2,"['SRRSH240_opa_9', 'SRRSH240_opa_7']"
391,SS3160,2,"['SS3160_opa_4', 'SS3160_opa_1']"
392,SS3160,3,"['SS3160_opa_8', 'SS3160_opa_2', 'SS3160_opa_9']"
393,SS3160,2,"['SS3160_opa_5', 'SS3160_opa_3']"
394,TFG-A2,4,"['TFG-A2_opa_7', 'TFG-A2_opa_10', 'TFG-A2_opa_6', 'TFG-A2_opa_8']"
395,TFG-A2,2,"['TFG-A2_opa_9', 'TFG-A2_opa_11']"
396,TFG-B2,2,"['TFG-B2_opa_7', 'TFG-B2_opa_10']"
397,TFG-B2,2,"['TFG-B2_opa_3', 'TFG-B2_opa_8']"
398,TH1713,2,"['TH1713_opa_8', 'TH1713_opa_1']"
399,TH1713,3,"['TH1713_opa_10', 'TH1713_opa_7', 'TH1713_opa_3']"
400,TH1713,2,"['TH1713_opa_4', 'TH1713_opa_5']"
401,TH1713,2,"['TH1713_opa_6', 'TH1713_opa_9']"
402,TH2288,5,"['TH2288_opa_10', 'TH2288_opa_7', 'TH2288_opa_1', 'TH2288_opa_8', 'TH2288_opa_3']"
403,TH2288,3,"['TH2288_opa_6', 'TH2288_opa_11', 'TH2288_opa_9']"
404,TH2288,2,"['TH2288_opa_5', 'TH2288_opa_4']"
405,TUM15748,6,"['TUM15748_opa_11', 'TUM15748_opa_5', 'TUM15748_opa_6', 'TUM15748_opa_1', 'TUM15748_opa_7', 'TUM15748_opa_10']"
406,TUM15748,2,"['TUM15748_opa_2', 'TUM15748_opa_9']"
407,TUM16691,2,"['TUM16691_opa_10', 'TUM16691_opa_8']"
408,TUM16691,2,"['TUM16691_opa_6', 'TUM16691_opa_2']"
409,UMASS-DGI_26,3,"['UMASS-DGI_26_opa_3', 'UMASS-DGI_26_opa_2', 'UMASS-DGI_26_opa_1']"
410,UMASS-DGI_26,2,"['UMASS-DGI_26_opa_4', 'UMASS-DGI_26_opa_10']"
411,UMASS-DGI_36,2,"['UMASS-DGI_36_opa_5', 'UMASS-DGI_36_opa_1']"
412,UMASS-DGI_36,2,"['UMASS-DGI_36_opa_6', 'UMASS-DGI_36_opa_10']"
413,UMASS-DGI_36,2,"['UMASS-DGI_36_opa_2', 'UMASS-DGI_36_opa_4']"
414,UMASS-DGI_40,3,"['UMASS-DGI_40_opa_8', 'UMASS-DGI_40_opa_10', 'UMASS-DGI_40_opa_7']"
415,UMASS-DGI_46,2,"['UMASS-DGI_46_opa_2', 'UMASS-DGI_46_opa_1']"
416,UMASS-DGI_46,3,"['UMASS-DGI_46_opa_3', 'UMASS-DGI_46_opa_11', 'UMASS-DGI_46_opa_8']"
417,UMASS-DGI_46,2,"['UMASS-DGI_46_opa_9', 'UMASS-DGI_46_opa_7']"
418,UMASS-DGI_54,2,"['UMASS-DGI_54_opa_1', 'UMASS-DGI_54_opa_2']"
419,UMASS-DGI_54,2,"['UMASS-DGI_54_opa_10', 'UMASS-DGI_54_opa_3']"
420,UMASS-DGI_5,2,"['UMASS-DGI_5_opa_2', 'UMASS-DGI_5_opa_1']"
421,UMASS-DGI_5,3,"['UMASS-DGI_5_opa_10', 'UMASS-DGI_5_opa_11', 'UMASS-DGI_5_opa_3']"
422,UMASS-DGI_5,2,"['UMASS-DGI_5_opa_8', 'UMASS-DGI_5_opa_7']"
423,UMASS-DGI_65,2,"['UMASS-DGI_65_opa_4', 'UMASS-DGI_65_opa_1']"
424,UMASS-DGI_65,2,"['UMASS-DGI_65_opa_3', 'UMASS-DGI_65_opa_9']"
425,UMASS-DGI_65,2,"['UMASS-DGI_65_opa_5', 'UMASS-DGI_65_opa_8']"
426,UMASS-DGI_9,2,"['UMASS-DGI_9_opa_5', 'UMASS-DGI_9_opa_1']"
427,UMASS-DGI_9,3,"['UMASS-DGI_9_opa_4', 'UMASS-DGI_9_opa_10', 'UMASS-DGI_9_opa_9']"
428,UMASS-DGI_9,3,"['UMASS-DGI_9_opa_11', 'UMASS-DGI_9_opa_8', 'UMASS-DGI_9_opa_7']"
429,WHO_A_2024,2,"['WHO_A_2024_opa_11', 'WHO_A_2024_opa_1']"
430,WHO_A_2024,3,"['WHO_A_2024_opa_10', 'WHO_A_2024_opa_6', 'WHO_A_2024_opa_4']"
431,WHO_A_2024,2,"['WHO_A_2024_opa_9', 'WHO_A_2024_opa_7']"
432,WHO_B_2024,2,"['WHO_B_2024_opa_10', 'WHO_B_2024_opa_5']"
433,WHO_C_2024,4,"['WHO_C_2024_opa_9', 'WHO_C_2024_opa_5', 'WHO_C_2024_opa_8', 'WHO_C_2024_opa_11']"
434,WHO_D_2024,4,"['WHO_D_2024_opa_4', 'WHO_D_2024_opa_11', 'WHO_D_2024_opa_2', 'WHO_D_2024_opa_7']"
435,WHO_D_2024,2,"['WHO_D_2024_opa_6', 'WHO_D_2024_opa_8']"
436,WHO_E_2024,2,"['WHO_E_2024_opa_5', 'WHO_E_2024_opa_11']"
437,WHO_E_2024,2,"['WHO_E_2024_opa_7', 'WHO_E_2024_opa_9']"
438,WHO_F_2024,5,"['WHO_F_2024_opa_8', 'WHO_F_2024_opa_5', 'WHO_F_2024_opa_2', 'WHO_F_2024_opa_7', 'WHO_F_2024_opa_9']"
439,WHO_G_2024,2,"['WHO_G_2024_opa_10', 'WHO_G_2024_opa_8']"
440,WHO_G_2024,2,"['WHO_G_2024_opa_6', 'WHO_G_2024_opa_4']"
441,WHO_H_2024,3,"['WHO_H_2024_opa_10', 'WHO_H_2024_opa_9', 'WHO_H_2024_opa_3']"
442,WHO_H_2024,3,"['WHO_H_2024_opa_6', 'WHO_H_2024_opa_8', 'WHO_H_2024_opa_5']"
443,WHO_I_2024,2,"['WHO_I_2024_opa_1', 'WHO_I_2024_opa_5']"
444,WHO_I_2024,2,"['WHO_I_2024_opa_10', 'WHO_I_2024_opa_2']"
445,WHO_I_2024,2,"['WHO_I_2024_opa_6', 'WHO_I_2024_opa_3']"
446,WHO_J_2024,3,"['WHO_J_2024_opa_8', 'WHO_J_2024_opa_4', 'WHO_J_2024_opa_10']"
447,WHO_J_2024,2,"['WHO_J_2024_opa_2', 'WHO_J_2024_opa_6']"
448,WHO_K_2024,2,"['WHO_K_2024_opa_1', 'WHO_K_2024_opa_4']"
449,WHO_K_2024,3,"['WHO_K_2024_opa_10', 'WHO_K_2024_opa_6', 'WHO_K_2024_opa_2']"
450,WHO_L_2024,3,"['WHO_L_2024_opa_3', 'WHO_L_2024_opa_8', 'WHO_L_2024_opa_11']"
451,WHO_L_2024,3,"['WHO_L_2024_opa_2', 'WHO_L_2024_opa_4', 'WHO_L_2024_opa_5']"
452,WHO_L_2024,2,"['WHO_L_2024_opa_7', 'WHO_L_2024_opa_9']"
453,WHO_M_2024,2,"['WHO_M_2024_opa_2', 'WHO_M_2024_opa_1']"
454,WHO_M_2024,2,"['WHO_M_2024_opa_4', 'WHO_M_2024_opa_10']"
455,WHO_M_2024,2,"['WHO_M_2024_opa_6', 'WHO_M_2024_opa_7']"
456,WHO_N_2024,3,"['WHO_N_2024_opa_1', 'WHO_N_2024_opa_11', 'WHO_N_2024_opa_7']"
457,WHO_N_2024,2,"['WHO_N_2024_opa_8', 'WHO_N_2024_opa_10']"
458,WHO_N_2024,2,"['WHO_N_2024_opa_2', 'WHO_N_2024_opa_4']"
459,WHO_O_2024,2,"['WHO_O_2024_opa_11', 'WHO_O_2024_opa_8']"
460,WHO_P_2024,2,"['WHO_P_2024_opa_10', 'WHO_P_2024_opa_6']"
461,WHO_P_2024,3,"['WHO_P_2024_opa_2', 'WHO_P_2024_opa_5', 'WHO_P_2024_opa_4']"
462,WHO_P_2024,3,"['WHO_P_2024_opa_3', 'WHO_P_2024_opa_9', 'WHO_P_2024_opa_8']"
463,WHO_Q_2024,2,"['WHO_Q_2024_opa_10', 'WHO_Q_2024_opa_6']"
464,WHO_R_2024,3,"['WHO_R_2024_opa_11', 'WHO_R_2024_opa_6', 'WHO_R_2024_opa_9']"
465,WHO_R_2024,2,"['WHO_R_2024_opa_8', 'WHO_R_2024_opa_2']"
466,WHO_S2_2024,2,"['WHO_S2_2024_opa_1', 'WHO_S2_2024_opa_7']"
467,WHO_S2_2024,2,"['WHO_S2_2024_opa_8', 'WHO_S2_2024_opa_10']"
468,WHO_S2_2024,2,"['WHO_S2_2024_opa_4', 'WHO_S2_2024_opa_2']"
469,WHO_S_2024,2,"['WHO_S_2024_opa_9', 'WHO_S_2024_opa_10']"
470,WHO_S_2024,2,"['WHO_S_2024_opa_11', 'WHO_S_2024_opa_2']"
471,WHO_S_2024,2,"['WHO_S_2024_opa_7', 'WHO_S_2024_opa_5']"
472,WHO_S_2024,2,"['WHO_S_2024_opa_8', 'WHO_S_2024_opa_6']"
473,WHO_T_2024,6,"['WHO_T_2024_opa_7', 'WHO_T_2024_opa_6', 'WHO_T_2024_opa_10', 'WHO_T_2024_opa_9', 'WHO_T_2024_opa_4', 'WHO_T_2024_opa_12']"
474,WHO_T_2024,2,"['WHO_T_2024_opa_3', 'WHO_T_2024_opa_5']"
475,WHO_U_2024,4,"['WHO_U_2024_opa_2', 'WHO_U_2024_opa_1', 'WHO_U_2024_opa_8', 'WHO_U_2024_opa_10']"
476,WHO_U_2024,2,"['WHO_U_2024_opa_11', 'WHO_U_2024_opa_5']"
477,WHO_U_2024,2,"['WHO_U_2024_opa_7', 'WHO_U_2024_opa_9']"
478,WHO_V_2024,3,"['WHO_V_2024_opa_11', 'WHO_V_2024_opa_8', 'WHO_V_2024_opa_10']"
479,WHO_V_2024,2,"['WHO_V_2024_opa_4', 'WHO_V_2024_opa_6']"
480,WHO_W_2024,3,"['WHO_W_2024_opa_5', 'WHO_W_2024_opa_3', 'WHO_W_2024_opa_10']"
481,WHO_W_2024,2,"['WHO_W_2024_opa_4', 'WHO_W_2024_opa_2']"
482,WHO_W_2024,2,"['WHO_W_2024_opa_6', 'WHO_W_2024_opa_8']"
483,WHO_X_2024,2,"['WHO_X_2024_opa_1', 'WHO_X_2024_opa_4']"
484,WHO_X_2024,3,"['WHO_X_2024_opa_10', 'WHO_X_2024_opa_3', 'WHO_X_2024_opa_8']"
485,WHO_X_2024,2,"['WHO_X_2024_opa_11', 'WHO_X_2024_opa_6']"
486,WHO_Y_2024,2,"['WHO_Y_2024_opa_8', 'WHO_Y_2024_opa_10']"
487,WHO_Y_2024,2,"['WHO_Y_2024_opa_3', 'WHO_Y_2024_opa_6']"
488,WHO_Y_2024,2,"['WHO_Y_2024_opa_7', 'WHO_Y_2024_opa_5']"
489,WHO_Z_2024,2,"['WHO_Z_2024_opa_4', 'WHO_Z_2024_opa_1']"
490,WHO_Z_2024,2,"['WHO_Z_2024_opa_8', 'WHO_Z_2024_opa_10']"
491,WHO_Z_2024,2,"['WHO_Z_2024_opa_6', 'WHO_Z_2024_opa_11']"
492,WHO_Z_2024,2,"['WHO_Z_2024_opa_2', 'WHO_Z_2024_opa_3']"
493,WHO_alpha_2024,3,"['WHO_alpha_2024_opa_9', 'WHO_alpha_2024_opa_10', 'WHO_alpha_2024_opa_2']"
494,WHO_alpha_2024,2,"['WHO_alpha_2024_opa_5', 'WHO_alpha_2024_opa_6']"
495,WHO_beta_2024,3,"['WHO_beta_2024_opa_1', 'WHO_beta_2024_opa_8', 'WHO_beta_2024_opa_6']"
496,WHO_beta_2024,2,"['WHO_beta_2024_opa_5', 'WHO_beta_2024_opa_11']"
497,WHO_beta_2024,2,"['WHO_beta_2024_opa_2', 'WHO_beta_2024_opa_4']"
